10 threads
TotalError = 4.5654
TotalError = 4.76621
TotalError = 4.24267
TotalError = 3.91703
TotalError = 4.64396
TotalError = 3.95113
TotalError = 5.05029
TotalError = 6.77258
TotalError = 4.80797
TotalError = 4.18033
TotalError = 4.49988
TotalError = 5.11842
TotalError = 4.32557
TotalError = 3.93184
TotalError = 4.78831
TotalError = 4.08397
TotalError = 5.03356
TotalError = 6.77258
TotalError = 4.68934
TotalError = 4.13999
TotalError = 4.56661
TotalError = 4.9155
TotalError = 4.11405
TotalError = 4.28962
TotalError = 4.45091
TotalError = 4.11429
TotalError = 5.07968
TotalError = 6.73755
TotalError = 4.40155
TotalError = 4.16474
TotalError = 4.4301
TotalError = 4.58646
TotalError = 4.13904
TotalError = 4.32947
TotalError = 4.46101
TotalError = 4.13904
TotalError = 5.18221
TotalError = 6.74112
TotalError = 4.12941
TotalError = 4.74859
TotalError = 4.87052
TotalError = 4.60046
TotalError = 3.92625
TotalError = 4.30941
TotalError = 4.41877
TotalError = 4.09406
TotalError = 5.69051
TotalError = 6.77461
TotalError = 4.10137
TotalError = 4.35263
TotalError = 4.50226
TotalError = 4.67697
TotalError = 4.03831
TotalError = 4.45949
TotalError = 4.55687
TotalError = 4.10137
TotalError = 5.15361
TotalError = 6.80145
TotalError = 4.18841
TotalError = 4.2558
TotalError = 4.40543
TotalError = 4.57203
TotalError = 4.15725
TotalError = 4.41733
TotalError = 4.32099
TotalError = 4.14481
TotalError = 5.00463
TotalError = 6.74054
TotalError = 4.15745
TotalError = 4.60087
TotalError = 4.41855
TotalError = 4.615
TotalError = 4.12791
TotalError = 4.44561
TotalError = 4.13346
TotalError = 4.11377
TotalError = 5.00006
TotalError = 6.76692
TotalError = 4.18634
TotalError = 4.53734
TotalError = 4.55832
TotalError = 4.42268
TotalError = 4.19853
TotalError = 4.35101
TotalError = 4.43155
TotalError = 4.18634
TotalError = 5.27866
TotalError = 6.80139
TotalError = 4.17491
TotalError = 4.58748
TotalError = 4.40658
TotalError = 4.42588
TotalError = 4.17665
TotalError = 4.38537
TotalError = 4.12607
TotalError = 4.17578
TotalError = 5.04147
TotalError = 6.73939
TotalError = 4.14436
TotalError = 4.58599
TotalError = 4.40297
TotalError = 4.41965
TotalError = 4.14611
TotalError = 4.43214
TotalError = 4.11788
TotalError = 4.14523
TotalError = 5.03589
TotalError = 6.74112
1.87255;0.09;10;40
1.9452;0.07;0;60
1.96532;0.07;10;50
1.96843;0.08;10;40
1.97095;0.08;10;50
2.25256;0.07;10;40
2.25507;0.06;10;50
2.32083;0.07;0;50
2.32645;0.06;0;50
2.46686;0.06;0;60
2.52511;0.05;10;50
2.67817;0.06;10;20
2.67817;0.07;10;20
2.79557;0.1;10;40
2.7987;0.1;0;40
2.79904;0.09;0;40
2.80016;0.1;10;30
2.80016;0.09;10;30
2.80119;0.08;0;30
2.80368;0.08;20;20
2.80432;0.1;0;50
2.8056;0.09;20;20
2.80578;0.1;20;20
2.80616;0.07;20;20
2.80786;0.09;0;30
2.80786;0.1;0;30
2.81801;0.09;0;50
2.8317;0.07;20;40
2.8317;0.06;20;40
2.8317;0.09;20;40
2.8317;0.08;20;40
2.83362;0.1;20;40
2.83444;0.08;20;30
2.83444;0.09;20;30
2.83444;0.07;20;30
2.83636;0.1;20;30
2.83768;0.08;20;50
2.83768;0.07;20;50
2.83768;0.09;20;50
2.83846;0.1;20;50
2.84095;0.09;30;50
2.84172;0.1;30;50
2.84579;0.06;20;50
2.84747;0.07;30;50
2.84747;0.08;30;50
2.84747;0.06;30;50
2.8515;0.07;30;30
2.8515;0.08;30;30
2.8515;0.06;30;30
2.85228;0.09;30;30
2.8542;0.1;30;30
2.85575;0.09;30;40
2.85652;0.1;30;40
2.87103;0.08;30;40
2.87103;0.06;30;40
2.87103;0.07;30;40
2.87127;0.05;0;60
2.8777;0.08;10;30
2.87919;0.08;0;60
2.87919;0.09;0;60
2.87919;0.1;0;60
2.88193;0.1;40;50
2.88193;0.09;40;40
2.8827;0.1;40;40
2.88814;0.08;40;50
2.88814;0.06;40;40
2.88814;0.07;40;40
2.88814;0.08;40;40
2.88814;0.09;40;50
2.88814;0.07;40;50
2.89931;0.09;10;50
2.90009;0.1;10;50
2.90011;0.08;10;20
2.91382;0.08;10;60
2.91382;0.07;10;60
2.9429;0.07;10;30
2.9429;0.06;10;30
2.94861;0.08;0;50
2.96025;0.06;10;40
3.01698;0.07;10;10
3.03406;0.06;0;40
3.06788;0.06;40;50
3.06953;0.06;10;10
3.07119;0.05;20;50
3.07311;0.05;40;40
3.07516;0.05;30;50
3.08254;0.05;30;30
3.08254;0.04;30;30
3.08743;0.05;20;40
3.09237;0.08;10;10
3.10206;0.05;30;40
3.10206;0.04;30;40
3.12089;0.05;20;30
3.12089;0.06;20;30
3.12249;0.08;0;40
3.12591;0.06;10;60
3.17247;0.05;10;60
3.21312;0.05;40;50
3.23164;0.04;40;40
3.25428;0.05;10;40
